"id","label","name"
"531","9606","ASS1"
"532","9606","MAP2K2"
"533","9606","COPS3"
"534","9606","POLA1"
"535","9606","RBMS1"
"536","9606","RPGR"
"537","9606","RPGRIP1"
"538","9606","HTR2C"
"539","9606","MPDZ"
"540","9606","SYP"
"541","9606","AP1G1"
"542","9606","TAF1"
"543","9606","UBTF"
"544","9606","RAN"
"545","9606","NR2C2"
"546","9606","NCOA3"
"547","9606","RNF4"
"548","9606","NCOA4"
"549","9606","PAK6"
"550","9606","RCHY1"
"551","9606","PIAS2"
"552","9606","BPY2"
"553","9606","SORBS1"
"554","9606","INSM1"
"555","9606","YAF2"
"556","9606","CBX3"
"557","9606","LBR"
"558","9606","MAPK8IP3"
"559","9606","KLC1"
"560","9606","SNTB2"
"561","9606","BCL2L1"
"562","9606","AVEN"
"563","9606","BNIP3"
"564","9606","RTN1"
"565","9606","BAX"
"566","9606","BCL2A1"
"567","9606","ABCA1"
"568","9606","FADD"
"569","9606","ANKRA2"
"570","9606","LRP2BP"
"571","9606","DAB2"
"572","9606","DLG2"
"573","9606","TAF13"
"574","9606","TBP"
"575","9606","PTPN12"
"576","9606","PSTPIP1"
"577","9606","PXN"
"578","9606","TUFT1"
"579","9606","TFIP11"
"580","9606","PDE4DIP"
"581","9606","PDE4D"
"582","9606","HNF4A"
"583","9606","NFE2L2"
"584","9606","TDG"
"585","9606","AIRE"
"586","9606","AP1B1"
"587","9606","PPP1R9B"
"588","9606","CDKN2A"
"589","9606","JAK3"
"590","9606","TIAF1"
"591","9606","STAT5A"
"592","9606","EIF5A"
"593","9606","RPL5"
"594","9606","PTRH2"
"595","9606","AES"
"596","9606","TLE1"
"597","9606","HES6"
"598","9606","FOXA2"
"599","9606","IL6ST"
"600","9606","EPS8"
"601","9606","DVL1"
"602","9606","FASN"
"603","9606","CENPF"
"604","9606","UPF1"
"605","9606","HIRA"
"606","9606","NFU1"
"607","9606","PKN2"
"608","9606","PTPN13"
"609","9606","PKP4"
"610","9606","DSC3"
"611","9606","ATXN1"
"612","9606","COIL"
"613","9606","PEX16"
"614","9606","PEX19"
"615","9606","NUBP1"
"616","9606","ZNHIT3"
"617","9606","IARS"
"618","9606","GARS"
"619","9606","HTRA2"
"620","9606","MAPK14"
"621","9606","DUSP10"
"622","9606","BBS4"
"623","9606","PCM1"
"624","9606","BCAR1"
"625","9606","RAPGEF1"
"626","9606","PSMB5"
"627","9606","S100A7"
"628","9606","TRAIP"
"629","9606","FLII"
"630","9606","CSTF2"
"631","9606","SUB1"
"632","9606","CSTF1"
"633","9606","XRCC2"
"634","9606","RAD51D"
"635","9606","MSC"
"636","9606","ID2"
"637","9606","TCF12"
"638","9606","TCF4"
"639","9606","PEX12"
"640","9606","PEX5"
"641","9606","PEX13"
"642","9606","ARF6"
"643","9606","NCBP2"
"644","9606","NCBP1"
"645","9606","PMF1"
"646","9606","EIF2AK3"
"647","9606","IGHMBP2"
"648","9606","DLG4"
"649","9606","KCNJ4"
"650","9606","NCK1"
"651","9606","EPHB1"
"652","9606","MINK1"
"653","9606","RECQL"
"654","9606","KPNA4"
"655","9606","YAP1"
"656","9606","PIAS1"
"657","9606","STAT1"
"658","9606","MAPKAPK2"
"659","9606","S100P"
"660","9606","KCNJ2"
"661","9606","LY9"
"662","9606","AP2M1"
"663","9606","TIAM1"
"664","9606","PTBP1"
"665","9606","HNRNPL"
"666","9606","IFI35"
"667","9606","NMI"
"668","9606","SYN2"
"669","9606","KCNIP3"
"670","9606","TTF1"
"671","9606","PTRF"
"672","9606","CDKN1B"
"673","9606","NUP50"
"674","9606","BMPR2"
"675","9606","CYFIP2"
"676","9606","INPPL1"
"677","9606","NCOR2"
"678","9606","SPEN"
"679","9606","CDKN1C"
"680","9606","UGCG"
"681","9606","SERPINH1"
"682","9606","UBQLN4"
"683","9606","NEUROD1"
"684","9606","DCTN1"
"685","9606","COPB1"
"686","9606","COPG1"
"687","9606","COPG2"
"688","9606","MYO6"
"689","9606","DCP1A"
"690","9606","BPTF"
"691","9606","MAZ"
"692","9606","F11R"
"693","9606","TJP1"
"694","9606","ADAM17"
"695","9606","NPC2"
"696","9606","PLXNB1"
"697","9606","BOK"
"698","9606","BAD"
"699","9606","LSM6"
"700","9606","SNRPD2"
"701","9606","SNRPD3"
"702","9606","SNRPD1"
"703","9606","ABCC2"
"704","9606","CADM1"
"705","9606","MPP3"
"706","9606","THOP1"
"707","9606","CSPG4"
"708","9606","GRIP2"
"709","9606","RANBP1"
"710","9606","CDC45"
"711","9606","PTK2B"
"712","9606","UBQLN1"
"713","9606","MTOR"
"714","9606","ITGA3"
"715","9606","SNX4"
"716","9606","BMPR1A"
"717","9606","SF3B4"
"718","9606","RGS7"
"719","9606","HNRNPD"
"720","9606","HECW1"
"721","9606","VPS37A"
"722","9606","ETV6"
"723","9606","MYBL2"
"724","9606","ZNF622"
"725","9606","CACYBP"
"726","9606","SKP1"
"727","9606","MAD2L1"
"728","9606","ESR2"
"729","9606","PPARG"
"730","9606","BAG1"
"731","9606","HSPA8"
"732","9606","GRB10"
"733","9606","GIGYF2"
"734","9606","PROX1"
"735","9606","USP7"
"736","9606","KHDRBS1"
"737","9606","RAPSN"
"738","9606","TFAP2C"
"739","9606","RIT1"
"740","9606","MRAS"
"741","9606","PGR"
"742","9606","PSMD4"
"743","9606","RAD23B"
"744","9606","GTF2I"
"745","9606","THRB"
"746","9606","PSMC5"
"747","9606","TRAF1"
"748","9606","HIVEP3"
"749","9606","SMARCD2"
"750","9606","RNF7"
"751","9606","CUL5"
"752","9606","SETDB1"
"753","9606","PEX7"
"754","9606","PEX10"
"755","9606","SP3"
"756","9606","STK19"
"757","9606","MCM6"
"758","9606","RFXAP"
"759","9606","RFX5"
"760","9606","TRAF2"
"761","9606","BCL2L2"
"762","9606","BCL2L11"
"763","9606","STAP2"
"764","9606","PTK6"
"765","9606","EXOSC6"
"766","9606","PSMB1"
"767","9606","DCP2"
"768","9606","IL16"
"769","9606","PPP1R12A"
"770","9606","RING1"
"771","9606","CBX4"
"772","9606","RAC1"
"773","9606","RAC2"
"774","9606","CUL1"
"775","9606","TALDO1"
"776","9606","TRPV1"
"777","9606","SYT9"
"778","9606","TACC1"
"779","9606","YEATS4"
"780","9606","CLNS1A"
"781","9606","RFWD2"
"782","9606","SIPA1"
"783","9606","SIAH1"
"784","9606","KIF22"
"785","9606","PEG10"
"786","9606","SIAH2"
"787","9606","ATXN7"
"788","9606","CRX"
"789","9606","NEDD4"
"790","9606","UBE2D2"
"791","9606","TTF2"
"792","9606","ILK"
