VertexID:ID,label,name
4649,9606,NPHP1
4682,9606,SREBF2
9987,9606,SPAST
14488,9606,MREG
1171,559292,ELP6
13283,9606,LY6H
8896,9606,CENPV
4357,9606,ARIH1
4183,9606,SLC5A7
12941,9606,PARP6
6634,9606,SEMA4C
10052,9606,ALKBH5
6885,9606,PPP2R5E
8508,9606,MYNN
6976,9606,FIZ1
14306,9606,FOXF1
7348,9606,PGM5
8980,9606,ADARB1
14029,9606,GLIPR1
8665,9606,ZFY
2663,9606,RALB
4085,9606,DERL1
14072,9606,PABPC4L
6320,9606,ITGB7
5126,9606,PLEC
8798,9606,HIST1H2AB
8567,9606,BCL7C
6996,9606,SLC7A7
8898,9606,RBP2
1444,9606,DOK5
13134,9606,AQP9
3192,9606,PSMD14
9523,9606,CSAD
14181,9606,TAS2R7
11858,9606,VAMP5
5054,9606,MDM4
1973,9606,BAIAP2
7220,9606,FCN3
11647,9606,FAM3C
11100,9606,TRAPPC6B
14878,9606,GANC
14864,9606,KIAA0556
2748,559292,NEO1
10603,9606,CCDC43
9628,9606,FBXL16
3193,9606,ICA1
3603,9606,VDAC1
12886,9606,PARP8
1155,559292,CDC73
5100,9606,GRIA2
5936,9606,LY86
2814,559292,PIN4
9332,9606,IFIH1
7453,9606,GRIN2C
1942,9606,IL36RN
12574,9606,DPH3
3419,9606,IQGAP2
9131,9606,KRT12
8027,9606,GPRASP2
6958,9606,BMP1
14947,9606,ANKRD20A1
2160,9606,CCDC42
10357,9606,USP24
9472,9606,LETM1
13629,9606,SYNPR
1358,559292,COG7
3521,9606,ERP44
9057,9606,SIRT4
2492,9606,WDR4
10201,9606,GBE1
7222,9606,TKT
10198,9606,FAM117B
1902,9606,JUP
7874,9606,ZMYM6
4872,9606,NOS3
13943,9606,SLC35F5
14573,9606,MCEMP1
1478,9606,RBM10
11910,9606,ISX
5583,9606,APOM
1575,9606,PHF10
5267,9606,EFNA1
1623,9606,MAPK1IP1L
7037,9606,DOC2A
926,9606,TRPM7
12290,9606,CARTPT
2185,9606,SNAP29
433,9606,PSMD2
9389,9606,MTX2
4698,9606,STX3
1191,559292,CCR4
12555,9606,ITIH3
14917,9606,KRBA2
6614,9606,RANBP10
11110,9606,KRT38
11906,9606,OTOG
5119,9606,LRP5
5125,9606,KRT7
1055,9606,CRY1
10833,9606,DDX55
13835,9606,GHDC
8787,9606,CECR1
4441,9606,TBL1XR1
2817,559292,MND1
6749,9606,MMP10
6790,9606,CLIC3
9773,9606,SOX5
7834,9606,FOXK2
6876,9606,IGBP1
14086,9606,SLC8A3
71,9606,MCM3
3855,9606,KDM1A
1689,9606,ACY1
11485,9606,GLB1L
13815,9606,MT1E
6019,9606,CTGF
13447,9606,GSG1
5386,9606,WARS
66,9606,DBF4
9312,9606,SLAIN2
5401,9606,HPS6
8259,9606,NFX1
13676,9606,TTLL11
6125,9606,RASSF5
11088,9606,EPB41L5
2343,9606,DRG1
233,9606,ALOX5
10679,9606,KLHL4
7089,9606,NR2F6
14614,9606,PEX5L
4466,9606,MIB2
1348,559292,MLH3
4454,9606,IGFBP7
5564,9606,ASAH1
7346,9606,CACNA1S
14945,9606,ALLC
13818,9606,TMEM129
6728,9606,SH2D1B
13266,9606,LCE1B
5311,9606,HAUS2
13787,9606,TP53INP2
5718,9606,SH2B1
1628,9606,KCTD4
3338,9606,CALR
7295,9606,GZMB
12371,9606,IGLL5
4731,9606,GJA3
2347,9606,ZNF232
13502,9606,PI4KAP2
11474,9606,ATL3
9397,9606,ZNHIT1
13949,9606,ASPHD2
9381,9606,CCDC93
11706,9606,TRPM8
6377,9606,SH3GLB1
13965,9606,CERS6
7483,9606,EPN2
705,9606,MPP3
2140,9606,RBM42
2725,559292,SPP2
2177,9606,IKZF3
9767,9606,EXOC6
9504,9606,FAM110A
13868,9606,SEC11C
11142,9606,PAIP2B
12097,9606,FBXO40
9701,9606,SERPINF1
12170,9606,PSG5
9292,9606,ALS2
9683,9606,KIF14
3754,9606,TAB2
4218,9606,SNTB1
14704,9606,ZNF300
3031,9606,IKBKE
3022,9606,SNRNP40
8209,9606,SHOX2
3950,9606,XRCC3
2671,9606,MXI1
10639,9606,EPN3
9317,9606,MCF2L2
8180,9606,LIMD1
11377,9606,CCDC40
3448,9606,MTHFD2
6964,9606,LZTS1
14056,9606,CLEC12A
8136,9606,USP34
9065,9606,DDX52
10957,9606,COMMD10
7773,559292,PMP2
13034,9606,FUNDC1
752,9606,SETDB1
5317,9606,GLUD2
593,9606,RPL5
525,9606,FMR1
11436,9606,CDPF1
3313,9606,PELO
6453,9606,DUSP19
3778,9606,HBG1
12407,9606,GPR119
4115,9606,POLR2B
8336,9606,UBE2F
8852,9606,HIST1H2AD
12220,9606,PPP1R36
3836,9606,KIF1B
14583,9606,B4GALNT4
2732,559292,MSH4
9400,9606,RHOT1
11939,9606,CERCAM
14857,9606,PLXDC1
2535,9606,ABCC9
3166,9606,KLC4
13124,9606,KLHL35
11478,9606,ROR1
13239,9606,FAM207A
9067,9606,CELSR2
1124,9606,TXNL4B
13955,9606,RDH14
1106,9606,MXD4
852,9606,SMAD7
9804,9606,LDB3
8014,9606,KLHL22
2585,9606,ITPKB
12816,9606,SERPINB10
14597,9606,AGAP5
6449,9606,TGFA
8921,9606,GGNBP1
8581,9606,MRTO4
9309,9606,PRR5L
6580,9606,BANF1
3660,9606,BPIFB3
7269,9606,DHX15
14326,9606,P2RY12
3993,9606,DCLRE1A
5751,9606,PLAGL1
8584,9606,PBRM1
5308,9606,FMNL1
13537,9606,CORO6
13966,9606,CST4
346,9606,ARHGDIG
13731,9606,FGFRL1
12826,9606,SLC7A8
1239,559292,MRPL3
3727,9606,ALS2CL
13632,9606,TMEM74
5612,9606,LOR
13,9606,ARF3
1802,9606,RCOR3
6305,9606,TNR
6405,9606,IL18
11660,9606,ZNF518B
13604,9606,ZFP69B
11017,9606,TRIB2
7442,9606,OPN1LW
596,9606,TLE1
1890,9606,PRPF3
1779,9606,MAGEA4
5627,9606,PEBP1
3810,9606,CTNNA1
10949,9606,NLRP7
12483,9606,MUC20
4331,9606,NUP155
5007,9606,GRID2IP
13557,9606,AZIN2
4031,9606,IKBKG
4058,9606,APH1A
6118,9606,TIMP3
4370,9606,TDP2
5367,9606,ZNF691
792,9606,ILK
1297,559292,TAF12
14915,9606,ZNF845
11472,9606,KIAA0513
13113,9606,NUDT22
14221,9606,LACC1
8770,9606,WNT9B
8325,9606,TRIM74
8058,9606,KDM1B
7308,9606,DUSP14
12301,9606,SLAMF7
12553,9606,RHBG
2706,559292,INO80
8071,9606,USP26
7969,9606,KLHL9
9734,9606,DPEP3
13242,9606,RIBC1
2741,559292,SLA2
7662,9606,PADI4
64,9606,CDC7
7955,9606,RNF220
2925,9606,PLAU
11607,9606,UQCR11
14352,9606,CYB5D2
3347,9606,SPTLC1
5786,9606,NEFL
4383,9606,SNX2
11559,9606,NAAA
12726,9606,ZNF596
188,9606,UBAP2L
